,downloads,run_time,views,is_good
0,7462.0,119.0,25712.0,1
1,3730.0,75.0,22398.0,0
2,954.0,90.0,12098.0,0
3,1720.0,97.0,8057.0,0
4,761.0,88.0,7466.0,0
5,468.0,95.0,5842.0,1
6,3072.0,93.0,24415.0,0
7,2718.0,109.0,14838.0,0
8,14614.0,127.0,48161.0,1
9,1098.0,113.0,8750.0,1
10,11518.0,93.0,35438.0,0
11,32924.0,101.0,125309.0,0
12,5590.0,90.0,37220.0,0
13,1405.0,117.0,10603.0,0
14,1875.0,108.0,11254.0,0
15,9544.0,124.0,23997.0,0
16,5546.0,94.0,28216.0,0
17,472.0,95.0,5928.0,1
18,766.0,88.0,7794.0,0
19,3842.0,100.0,16768.0,1
20,284.0,110.0,3169.0,0
21,9098.0,118.0,40452.0,0
22,36595.0,89.0,88530.0,0
23,760.0,88.0,7452.0,0
24,36652.0,102.0,74678.0,0
25,4011.0,97.0,14145.0,0
26,2226.0,75.0,15176.0,0
27,790.0,90.0,8203.0,0
28,173.0,100.0,2154.0,0
29,4929.0,124.0,35546.0,0
30,41582.0,170.0,98532.0,1
31,2074.0,79.0,14301.0,0
32,780.0,100.0,7466.0,0
33,765.0,88.0,7727.0,0
34,377.0,105.0,3632.0,0
35,1466.0,95.0,11561.0,0
36,766.0,88.0,7803.0,0
37,16596.0,90.0,43176.0,0
38,18734.0,130.0,61144.0,1
39,2908.0,123.0,17086.0,0
40,39074.0,93.0,97576.0,0
41,205452.0,154.0,542879.0,0
42,10315.0,134.0,35512.0,1
43,21505.0,90.0,75943.0,0
44,1981.0,81.0,13042.0,0
45,2456.0,139.0,24158.0,0
46,6007.0,85.0,28382.0,0
47,2753.0,129.0,15503.0,0
48,15871.0,111.0,59346.0,0
49,65.0,94.0,1400.0,0
50,2968.0,84.0,20343.0,0
51,449.0,105.0,4390.0,0
52,858.0,93.0,7093.0,0
53,11465.0,99.0,32130.0,0
54,3017.0,100.0,15613.0,0
55,4287.0,83.0,27735.0,0
56,23170.0,103.0,64105.0,0
57,6672.0,104.0,37166.0,1
58,5572.0,89.0,38819.0,0
59,12856.0,90.0,61184.0,0
60,3685.0,98.0,26386.0,0
61,1279.0,82.0,14106.0,0
62,8969.0,88.0,35811.0,1
63,10818.0,138.0,47683.0,1
64,22795.0,79.0,86207.0,1
65,109640.0,98.0,324536.0,0
66,765.0,88.0,7702.0,0
67,472.0,95.0,5984.0,1
68,22032.0,100.0,88973.0,1
69,7904.0,102.0,41628.0,0
70,2873.0,87.0,29381.0,0
