,downloads,run_time,views,is_good
0,3730.0,75.0,22398.0,0
1,954.0,90.0,12098.0,0
2,761.0,88.0,7466.0,0
3,2718.0,109.0,14838.0,0
4,11518.0,93.0,35438.0,0
5,5590.0,90.0,37220.0,0
6,5546.0,94.0,28216.0,0
7,766.0,88.0,7794.0,0
8,284.0,110.0,3169.0,0
9,760.0,88.0,7452.0,0
10,4011.0,97.0,14145.0,0
11,790.0,90.0,8203.0,0
12,4929.0,124.0,35546.0,0
13,2074.0,79.0,14301.0,0
14,780.0,100.0,7466.0,0
15,765.0,88.0,7727.0,0
16,377.0,105.0,3632.0,0
17,1466.0,95.0,11561.0,0
18,766.0,88.0,7803.0,0
19,6094.0,45.0,20746.0,0
20,6007.0,85.0,28382.0,0
21,2753.0,129.0,15503.0,0
22,15871.0,111.0,59346.0,0
23,2968.0,84.0,20343.0,0
24,449.0,105.0,4390.0,0
25,4287.0,83.0,27735.0,0
26,12856.0,90.0,61184.0,0
27,3685.0,98.0,26386.0,0
28,1279.0,82.0,14106.0,0
29,765.0,88.0,7702.0,0
30,33335.0,144.0,115744.0,0
31,4402.0,96.0,16014.0,0
32,4772.0,94.0,27145.0,0
33,1168.0,105.0,11004.0,0
34,7054.0,116.0,19562.0,0
35,7633.0,79.0,27535.0,0
36,2100.0,98.0,15144.0,0
37,792.0,103.0,10846.0,0
38,395.0,109.0,2519.0,0
39,956.0,100.0,6396.0,0
40,10345.0,130.0,41391.0,0
41,1011.0,97.0,12643.0,0
42,2396.0,97.0,13024.0,0
43,712.0,93.0,5292.0,0
44,766.0,88.0,7782.0,0
45,3320.0,90.0,13067.0,0
46,1600.0,90.0,15416.0,0
47,1003.0,95.0,12697.0,0
48,761.0,88.0,7513.0,0
49,2656.0,101.0,12362.0,0
50,787.0,86.0,6710.0,0
51,764.0,88.0,7610.0,0
52,503.0,113.0,6934.0,0
53,766.0,88.0,7829.0,0
54,66280.0,103.0,295022.0,0
55,1882.0,82.0,13671.0,0
56,2039.0,88.0,16274.0,0
57,3207.0,109.0,30485.0,0
58,3329.0,96.0,13969.0,0
59,2718.0,109.0,14858.0,0
60,649.0,111.0,11161.0,0
61,765.0,88.0,7759.0,0
62,763.0,88.0,7586.0,0
63,3072.0,91.0,19071.0,0
64,284.0,110.0,3224.0,0
65,578.0,90.0,4580.0,0
66,2172.0,100.0,11937.0,0
67,6738.0,92.0,35139.0,0
68,16072.0,169.0,59391.0,0
69,17209.0,113.0,49329.0,0
70,5356.0,118.0,24853.0,0
71,867.0,105.0,15682.0,0
72,435.0,105.0,4245.0,0
73,4097.0,108.0,19728.0,0
74,1187.0,103.0,13477.0,0
75,860.0,92.0,8980.0,0
76,18606.0,98.0,63060.0,0
77,374.0,105.0,3524.0,0
78,283.0,110.0,3104.0,0
79,17702.0,92.0,55870.0,0
80,284.0,110.0,3209.0,0
81,4581.0,80.0,13859.0,0
82,925.0,96.0,9033.0,0
83,2991.0,103.0,15269.0,0
84,4436.0,92.0,25679.0,0
85,3963.0,128.0,33689.0,0
86,7716.0,108.0,18214.0,0
87,766.0,88.0,7797.0,0
88,2507.0,96.0,11981.0,0
89,764.0,88.0,7682.0,0
90,6126.0,93.0,28014.0,0
91,424.0,119.0,5437.0,0
92,2307.0,87.0,14275.0,0
93,966.0,117.0,12173.0,0
94,653.0,116.0,5342.0,0
95,761.0,88.0,7518.0,0
96,283.0,110.0,3114.0,0
97,308.0,144.0,5303.0,0
98,166362.0,140.0,331905.0,0
99,765.0,88.0,7755.0,0
100,3237.0,109.0,19124.0,0
101,658.0,107.0,4512.0,0
102,1404.0,108.0,15501.0,0
103,26550.0,98.0,80165.0,0
104,380.0,89.0,4744.0,0
105,3780.0,98.0,19974.0,0
106,4256.0,91.0,49795.0,0
